id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName
49608;Women;Footwear;Shoes;Casual Shoes;Red;Winter;2015;Casual;Catwalk Women Red Shoes
3550;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Brown Lifestyle Shoe
30257;Men;Footwear;Shoes;Casual Shoes;Grey;Winter;2018;Casual;Red Tape Men Grey Shoes
5698;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Liquid Roggers Brown Shoe
47248;Men;Footwear;Shoes;Casual Shoes;Orange;Summer;2013;Casual;Playboy Men Orange Casual Shoes
2399;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Black Men's Semi Casual Shoe
20715;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Smart Casual;Red Tape Men Black Leather Casual Shoes
28316;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Black Shoes
15892;Girls;Footwear;Shoes;Casual Shoes;Blue;Spring;2013;Casual;Warner Bros Tweety Girls Blue and White Casual Shoes
15866;Unisex;Footwear;Shoes;Casual Shoes;Brown;Spring;2013;Casual;Warner Bros Kids Unisex SD Silly Shoe Brown Casual Shoes
39290;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Chief Men Brown Shoes
35462;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;Franco Leone Men Brown Shoes
59944;Men;Footwear;Shoes;Casual Shoes;Cream;Spring;2013;Casual;Vans Men Black & Cream Casual Shoes
18548;Women;Footwear;Shoes;Casual Shoes;Beige;Winter;2015;Casual;Catwalk Women  Beige Casual Shoes
39252;Men;Footwear;Shoes;Casual Shoes;Beige;Winter;2018;Casual;Red Chief Men Beige Shoes
35659;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2014;Casual;U.S. Polo Assn. Men Brown Shoes
44437;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;Gliders Men Brown Shoes
2397;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men's Brown Casual Shoe
55783;Men;Footwear;Shoes;Casual Shoes;Brown;Fall;2013;Casual;Converse Men Brown Casual Shoes
47246;Men;Footwear;Shoes;Casual Shoes;Green;Summer;2013;Casual;Playboy Men Green Casual Shoes
55784;Men;Footwear;Shoes;Casual Shoes;Black;Spring;2014;Casual;Converse Men Black Casual Shoes
47241;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2013;Casual;Playboy Men Blue  Casual Shoes
2390;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men's Semi Black Casual Shoe
36480;Men;Footwear;Shoes;Casual Shoes;Brown;Spring;2013;Casual;Spinn Men Benzeen Brown Shoes
1727;Unisex;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Newfeel Unisex Black Lightweight Shoes
22848;Men;Footwear;Shoes;Casual Shoes;Khaki;Summer;2016;Casual;Woodland Men Khaki Casual Shoes
28318;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Shoes
11833;Men;Footwear;Shoes;Casual Shoes;Green;Summer;2013;Casual;Playboy Men Casual Green Casual Shoes
22823;Men;Footwear;Shoes;Casual Shoes;Khaki;Summer;2016;Casual;Woodland Men Khaki Casual Shoes
33531;Women;Footwear;Shoes;Casual Shoes;Black;Summer;2016;Casual;Cobblerz Women Black Loafers
47682;Men;Footwear;Shoes;Casual Shoes;Black;Spring;2013;Casual;Carlton London Men Black Leather Casual Shoes
40453;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Black Shoes
11834;Men;Footwear;Shoes;Casual Shoes;Grey;Summer;2013;Casual;Playboy Men Casual Grey Casual Shoes
22824;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2016;Casual;Woodland Men Brown Casual Shoes
38775;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2016;Casual;Woodland Men Black Shoes
38781;Men;Footwear;Shoes;Casual Shoes;Olive;Summer;2016;Casual;Woodland Men Olive Shoes
39254;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Chief Men Brown Casual Shoes
55785;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Spring;2014;Casual;Converse Men Navy Casual Shoes
39253;Men;Footwear;Shoes;Casual Shoes;Rust;Winter;2018;Casual;Red Chief Men Rust Casual  Shoes
2396;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Black Men Casual Shoe
47247;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2013;Casual;Playboy Men Blue Canvas Shoes
44436;Men;Footwear;Shoes;Casual Shoes;Grey;Summer;2013;Casual;Gliders Men Grey Shoes
39291;Men;Footwear;Shoes;Casual Shoes;Khaki;Winter;2018;Casual;Red Chief Men Khaki Shoes
22847;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2016;Casual;Woodland Men Camel Casual Shoes
59945;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2015;Casual;Vans Men Blue Casual Shoes
20713;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Redtape Men Margate Black Casual Shoe
36444;Men;Footwear;Shoes;Casual Shoes;White;Spring;2013;Casual;Spinn Men Gen X White Shoes
5343;Women;Footwear;Shoes;Casual Shoes;Blue;Winter;2015;Casual;Skechers Women Blue Teal Shoe
15860;Unisex;Footwear;Shoes;Casual Shoes;Navy Blue;Spring;2013;Casual;Warner Bros Kids Unisex SD Fire Canvas Navy Blue Casual Shoes
2398;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men's Semi Black Casual Shoe
34542;Men;Footwear;Shoes;Casual Shoes;Beige;Winter;2018;Casual;Red Tape Men Beige Shoes
24186;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2014;Casual;Converse Men Black & Maroon Oxford Casual Shoes
36443;Men;Footwear;Shoes;Casual Shoes;White;Spring;2013;Casual;Spinn Men Dozer White Shoes
20714;Men;Footwear;Shoes;Casual Shoes;Coffee Brown;Winter;2018;Smart Casual;Red Tape Men Coffee Brown Leather Loafers
35464;Men;Footwear;Shoes;Casual Shoes;Red;Summer;2013;Casual;Franco Leone Men Red Shoes
35656;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Spring;2013;Casual;U.S. Polo Assn. Men Navy Blue Shoes
38780;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2016;Casual;Woodland Men Brown Casual Shoes
34529;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Shoes
37956;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Clarks Men Black Leather Loafers
3674;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Fila Men's Chaser HI Black Shoe
33530;Women;Footwear;Shoes;Casual Shoes;Beige;Summer;2016;Casual;Cobblerz Women Beige Loafers
51349;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Converse Men Black Casual Shoes
11835;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2013;Casual;Playboy Men Casual Blue Casual Shoes
22825;Men;Footwear;Shoes;Casual Shoes;Khaki;Summer;2016;Casual;Woodland Men Khaki Casual Shoes
40455;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Black Shoes
11832;Men;Footwear;Shoes;Casual Shoes;Grey;Summer;2013;Casual;Playboy Men Casual Grey Casual Shoes
22822;Men;Footwear;Shoes;Casual Shoes;Green;Summer;2016;Casual;Woodland Men Green Shoes
13549;Women;Footwear;Shoes;Casual Shoes;Grey;Spring;2013;Casual;Carlton London Women Casual Grey Casual Shoes
3804;Men;Footwear;Shoes;Casual Shoes;White;Winter;2015;Casual;Skechers Men's White Navy Shoe
40448;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Shoes
41551;Men;Footwear;Shoes;Casual Shoes;Coffee Brown;Spring;2013;Casual;Carlton London Men Brown Casual Shoes
56720;Men;Footwear;Shoes;Casual Shoes;Grey;Spring;2013;Casual;Converse Men Grey Shoes
24300;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Summer;2013;Casual;Converse Men Oxford Navy Blue Casual Shoes
47236;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;Playboy Men Brown Low Cut Lace Up Shoes
11817;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Playboy Men Casual White Casual Shoes
11828;Men;Footwear;Shoes;Casual Shoes;Red;Summer;2013;Casual;Playboy Men Casual Red Casual Shoes
33512;Women;Footwear;Shoes;Casual Shoes;Black;Summer;2016;Casual;Cobblerz Women Black Casual Shoes
47238;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Playboy
22831;Men;Footwear;Shoes;Casual Shoes;Khaki;Summer;2016;Casual;Woodland Men Khaki Casual Shoes
33524;Women;Footwear;Shoes;Casual Shoes;Red;Summer;2016;Casual;Cobblerz Women Red Shoes
36432;Men;Footwear;Shoes;Casual Shoes;White;Spring;2013;Casual;Spinn Men Castro White Shoes
36435;Men;Footwear;Shoes;Casual Shoes;White;Spring;2013;Casual;Spinn Men White & Navy Blue Shoes
11819;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2013;Casual;Playboy Men Casual Blue Casual Shoes
33523;Women;Footwear;Shoes;Casual Shoes;Black;Summer;2016;Casual;Cobblerz Women Black Shoes
2371;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Semi Casual Brown Shoe
5702;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Men's Torino Black Shoe
13170;Men;Footwear;Shoes;Casual Shoes;Brown;Spring;2013;Casual;Skechers Men Berra Brown Casual Shoes
2385;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Semi Casual Men's Brown Shoe
51755;Women;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Catwalk Women Black Shoes
8210;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men's Casual Brown Shoe
51752;Women;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Catwalk Women Black Pumps
39278;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2018;Casual;Red Chief Men Brown Shoes
5705;Men;Footwear;Shoes;Casual Shoes;Grey;Winter;2015;Casual;Skechers Men Planfix-Zeta Charcoal Grey Shoes
44422;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Leather Shoes
35687;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Summer;2013;Casual;U.S. Polo Assn. Men Navy Casual Shoes
36466;Men;Footwear;Shoes;Casual Shoes;White;Spring;2013;Casual;Spinn Men Viking White Casual Shoes
2376;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Semi Casual Brown Men's Shoe
22865;Men;Footwear;Shoes;Casual Shoes;Khaki;Summer;2016;Casual;Woodland Men Khaki Casual Shoes
39247;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Chief Men Brown Shoes
44414;Men;Footwear;Shoes;Casual Shoes;Grey;Winter;2018;Casual;Red Tape Men Grey Shoes
22853;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2016;Casual;Woodland Men Brown Casual Shoes
11843;Men;Footwear;Shoes;Casual Shoes;Blue;Summer;2013;Casual;Playboy Men Casual Blue Casual Shoes
25424;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Puma Men Mid Evo Leather Black Casual Shoes
44413;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Black Shoes
39249;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Chief Men Brown Shoes
7407;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men's Anm Casual Brown Shoe
26631;Women;Footwear;Shoes;Casual Shoes;Black;Spring;2014;Casual;Puma Women Winning Diva Ballerina Black Casual Shoes
36468;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Spinn Men Zoom Black Shoes
19027;Women;Footwear;Shoes;Casual Shoes;Pink;Winter;2015;Casual;Catwalk Women Loafer Pink Casual Shoes
22854;Men;Footwear;Shoes;Casual Shoes;Khaki;Summer;2016;Casual;Woodland Men Khaki Casual Shoes
39276;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2018;Casual;Red Chief Men Brown Casual Shoes
35689;Men;Footwear;Shoes;Casual Shoes;White;Spring;2013;Casual;U.S. Polo Assn. Men White Shoes
44817;Men;Footwear;Shoes;Casual Shoes;Brown;Fall;2013;Casual;Clarks Men Brown Latch Port Suede Loafers
36434;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;Spinn Men Conniver Brown Shoes
22830;Men;Footwear;Shoes;Casual Shoes;Green;Summer;2016;Casual;Woodland Men Green Casual Shoes
11820;Men;Footwear;Shoes;Casual Shoes;Green;Summer;2013;Casual;Playboy Men Casual Green Casual Shoes
36433;Men;Footwear;Shoes;Casual Shoes;Black;Spring;2013;Casual;Spinn Men Conniver Black Shoes
3802;Men;Footwear;Shoes;Casual Shoes;Grey;Winter;2015;Casual;Skechers Men's Navy Grey Shoe
11829;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Playboy Men Casual White Casual Shoes
13114;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Numero Uno Men Casual White Casual Shoes
44821;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Fall;2014;Casual;Clarks Men Dark Navy Malta Drive Loafers
56721;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2014;Casual;Converse Men Black Shoes
47237;Men;Footwear;Shoes;Casual Shoes;Grey;Summer;2013;Casual;Playboy Men Grey Shoes
45594;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2013;Casual;Arrow Men Brown & Navy Blue Shoes
39248;Men;Footwear;Shoes;Casual Shoes;Olive;Winter;2018;Casual;Red Chief Men Olive Shoes
44412;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Black Shoes
36456;Men;Footwear;Shoes;Casual Shoes;Brown;Spring;2013;Casual;Spinn Men Temptation Brown Shoes
36469;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Spinn Men Zoom White Casual Shoes
35688;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;U.S. Polo Assn. Men Black Shoes
15881;Unisex;Footwear;Shoes;Casual Shoes;Grey;Winter;2013;Casual;Warner Bros Kids Unisex TJ Stud Sandal Grey Casual Shoes
39277;Men;Footwear;Shoes;Casual Shoes;Olive;Winter;2018;Casual;Red Chief Men Olive Casual Shoes
7401;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Casual Shoes
44415;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Shoes
39270;Men;Footwear;Shoes;Casual Shoes;Khaki;Winter;2018;Casual;Red Chief Men Khaki Shoes
22852;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2016;Casual;Woodland Men Brown Casual Shoes
11842;Men;Footwear;Shoes;Casual Shoes;Beige;Summer;2013;Casual;Playboy Men Casual Beige Casual Shoes
15872;Unisex;Footwear;Shoes;Casual Shoes;Navy Blue;Spring;2013;Casual;Warner Bros Kids Unisex TJ Happy Canvas Navy Blue Casual Shoes
5704;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Seguae-Deposit Chocolate Shoe
35686;Men;Footwear;Shoes;Casual Shoes;Navy Blue;Summer;2013;Casual;U.S. Polo Assn. Men Beige Shoes
36467;Men;Footwear;Shoes;Casual Shoes;Black;Spring;2013;Casual;Spinn Men Zoom Black Shoes
33115;Women;Footwear;Shoes;Casual Shoes;Orange;Winter;2015;Casual;Catwalk Women Orange Shoes
19028;Women;Footwear;Shoes;Casual Shoes;Yellow;Winter;2015;Casual;Catwalk Women Loafer Yellow Casual Shoes
2383;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Casual Semi Men's Shoe
51753;Women;Footwear;Shoes;Casual Shoes;Grey;Winter;2015;Casual;Catwalk Women Grey Pumps
7408;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Black Shoes
22864;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2016;Casual;Woodland Men Camel Casual Shoes
51754;Women;Footwear;Shoes;Casual Shoes;Pink;Winter;2015;Casual;Catwalk Women Pink Moccassins
33112;Women;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Catwalk Women Black Casual Shoes
5703;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Striking Charcoal Shoe
3586;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2014;Casual;Converse Men Black All Star Canvas Mono Hi Casual Shoes
6490;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Brown Formal Shoe
17033;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2013;Casual;Gas Men Europa Casual Shoes
17665;Women;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Catwalk Women Back Strap Black Casual Shoe
53727;Women;Footwear;Shoes;Casual Shoes;Black;Spring;2014;Casual;Puma Women Black Motorina Casual Shoes
5685;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Men's Traffics Black Shoe
4139;Women;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Skechers Women Black Wave Shoe
50738;Men;Footwear;Shoes;Casual Shoes;Mushroom Brown;Winter;2018;Casual;Red Chief Men Mushroom Brown Shoes
5682;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Transparent Brown Shoe
33093;Women;Footwear;Shoes;Casual Shoes;Black;Winter;2015;Casual;Catwalk Women Black Shoes
17034;Men;Footwear;Shoes;Casual Shoes;White;Summer;2013;Casual;Gas Men Romance Casual Shoe
19368;Men;Footwear;Shoes;Casual Shoes;Grey;Winter;2018;Casual;Redtape Men Candy Grey Casual Shoes
6497;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men's Leather Brown Shoe
5676;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Casual  Charcoal Shoe
53729;Men;Footwear;Shoes;Casual Shoes;Black;Fall;2013;Casual;Puma Men Black Drift Cat 3 CF SF Casual Shoes
39302;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Chief Men Brown Casual Shoes
3588;Unisex;Footwear;Shoes;Casual Shoes;Red;Summer;2013;Casual;Converse Unisex All Star Canvas Ox Red Shoe
24482;Men;Footwear;Shoes;Casual Shoes;Black;Winter;2018;Casual;Red Tape Men Black Casual Shoes
5678;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2015;Casual;Skechers Men's Slip On Dark Brown Shoe
39305;Men;Footwear;Shoes;Casual Shoes;Khaki;Winter;2018;Casual;Red Chief Men Khaki Shoes
4137;Women;Footwear;Shoes;Casual Shoes;White;Winter;2015;Casual;Skechers Women Silver Pink White Shoe
